Collection,Type,Original English label,Japanese,English translation,Quality,Origin,Effect,Translation status,Audit note,Source order
books,Building Manual,Workman's Manual,惣地取奥義,Secret Techniques of Land Surveying,7,Japan,Politics + 7,interpretive,,33
books,Building Manual,Mechanic's Manual,匠明,Shōmei (Master Builders' Manual),6,Japan,Politics + 6,interpretive,,34
books,Building Manual,Housing Manual,匠家極秘伝,Secret Teachings of Master Carpenters,5,Japan,Politics + 5,interpretive,,35
books,Building Manual,Modeler's Manual,武教全書,Complete Book of Military Instruction,4,Japan,Politics + 4,interpretive,,36
books,Building Manual,Carpenter's Manual,匠道奥秘巻,Secret Scroll of the Carpenter's Way,3,Japan,Politics + 3,interpretive,,37
books,Building Manual,Patterns Manual,士鑑用法,Guide to Warrior Practice,2,Japan,Politics + 2,interpretive,,38
books,Building Manual,Beginner's Manual,兵法雄鑑,Military Strategy Guide,1,Japan,Politics + 1,interpretive,,39
books,Scroll of History,Complete Histories,徒然草,Essays in Idleness,10,Japan,Intelligence + 10,interpretive,,40
books,Scroll of History,Archived Periodicals,閑吟集,Kanginshū (Collection of Leisurely Songs),9,Japan,Intelligence + 9,interpretive,,41
books,Scroll of History,Jōzan Periodicals,常山紀談,Jōzan Kidan (Tales of Mount Jō),8,Japan,Intelligence + 8,interpretive,,42
books,Scroll of History,Abbot's Periodicals,方丈記,The Ten-Foot-Square Hut,7,Japan,Intelligence + 7,interpretive,,43
books,Scroll of History,Uji Periodicals,宇治拾遺物語,Tales of Uji,6,Japan,Intelligence + 6,interpretive,,44
books,Scroll of History,Venerable Periodicals,老人雑話,Conversations of Elderly People,5,Japan,Intelligence + 5,interpretive,,45
books,Scroll of History,Lamplight Periodicals,武野燭談,Takeno Shokudan (Candlelit War Tales),4,Japan,Intelligence + 4,interpretive,,46
books,Scroll of History,Old Periodicals,翁草,Okina-gusa (Old Man's Grass),3,Japan,Intelligence + 3,interpretive,,47
books,Scroll of History,Essays in Idleness,落穂集,Collection of Fallen Ears,2,Japan,Intelligence + 2,interpretive,,48
books,Scroll of History,Nijō Periodicals,二条河原落書,Nijō Riverbed Graffiti,1,Japan,Intelligence + 1,interpretive,,49
books,Scroll of Diplomacy,Diplomatic Scroll,善隣国宝記,Record of Treasured Foreign Relations,10,Japan,Charm + 10,interpretive,,50
books,Scroll of Diplomacy,Neighborly Scroll,歴代宝案,Rekidai Hōan (Documents of Successive Generations),9,Japan,Charm + 9,interpretive,,51
books,Scroll of Diplomacy,Successive Tome,海東諸国記,Account of Countries East of the Sea,8,China,Charm + 8,interpretive,,52
books,Scroll of Diplomacy,Foreign Scroll,異国日記,Diary of Foreign Lands,7,Japan,Charm + 7,interpretive,,53
books,Scroll of Diplomacy,Japanese Tome,日本一鑑,A Mirror of Japan,6,China,Charm + 6,interpretive,,54
books,Scroll of Diplomacy,Western Scroll,西遊雑記,Miscellaneous Notes on Travels in the West,5,Japan,Charm + 5,interpretive,,55
books,Scroll of Diplomacy,Eastern Scroll,東国紀行,Account of Travels in the Eastern Provinces,4,Japan,Charm + 4,interpretive,,56
books,Scroll of Diplomacy,Municipal Scroll,都の,Miyako no (Incomplete Title),3,Japan,Charm + 3,needs-review,Source appears truncated. The Japanese does not establish the full work's title.,57
books,Scroll of Diplomacy,Harmonious Scroll,廻国雑記,Notes on a Journey Around the Country,2,Japan,Charm + 2,interpretive,,58
books,Scroll of Diplomacy,16 Moon Scroll,十六夜日記,Diary of the Sixteenth Night,1,Japan,Charm + 1,interpretive,,59
books,Warrior's Scroll,Hero's Scroll,竹内流柔術書,Takeuchi-ryū Jūjutsu Manual,10,Japan,Leadership + 10,interpretive,,60
books,Warrior's Scroll,Righteous Scroll,楊心流柔術書,Yōshin-ryū Jūjutsu Manual,9,Japan,Leadership + 9,interpretive,,61
books,Warrior's Scroll,Vanguard's Scroll,大東流柔術書,Daitō-ryū Jūjutsu Manual,8,Japan,Leadership + 8,interpretive,,62
books,Warrior's Scroll,Life Tree Scroll,高木流柔術書,Takagi-ryū Jūjutsu Manual,7,Japan,Leadership + 7,interpretive,,63
books,Warrior's Scroll,Mind's Eye Scroll,福野流柔術書,Fukuno-ryū Jūjutsu Manual,6,Japan,Leadership + 6,interpretive,,64
books,Warrior's Scroll,Tactician's Scroll,心眼流柔術書,Shingan-ryū Jūjutsu Manual,5,Japan,Leadership + 5,interpretive,,65
books,Warrior's Scroll,Willow Heart Scroll,磯貝流柔術書,Isogai-ryū Jūjutsu Manual,4,Japan,Leadership + 4,interpretive,,66
books,Warrior's Scroll,Soldier's Scroll,起倒流柔術書,Kitō-ryū Jūjutsu Manual,3,Japan,Leadership + 3,interpretive,,67
books,Warrior's Scroll,Ripped Scroll,三浦流柔術書,Miura-ryū Jūjutsu Manual,2,Japan,Leadership + 2,interpretive,,68
books,Warrior's Scroll,Bloodied Scroll,関口流柔術書,Sekiguchi-ryū Jūjutsu Manual,1,Japan,Leadership + 1,interpretive,,69
books,Equestrian Scroll,Empathy Scroll,大坪流桐坪巻,Ōtsubo-ryū Kiritubo Scroll,10,Japan,Skill[Charge 1],interpretive,,70
books,Equestrian Scroll,Ogasawara Scroll,小笠原流庭乗,Ogasawara-ryū Garden Riding,9,Japan,Skill[Charge 1],interpretive,,71
books,Equestrian Scroll,Horsemanship Scroll,荒木流馬術書,Araki-ryū Horsemanship Manual,8,Japan,Skill[Charge 1],interpretive,,72
books,Equestrian Scroll,Mongolian Scroll,八条流幸秀論,Hachijō-ryū Treatise by Yukihide,7,Japan,Skill[Charge 1],interpretive,,73
books,Equestrian Scroll,Equestrian Scroll,神当流音捨巻,Shintō-ryū Onsha Scroll,6,Japan,Skill[Charge 1],interpretive,,74
books,Equestrian Scroll,Knight's Scroll,騎士用本,Knight's Handbook,5,Japan,Skill[Charge 1],interpretive,,75
books,Equestrian Scroll,Rider's Scroll,射法一統,Unified School of Archery,4,Japan,Skill[Charge 1],interpretive,,76
books,Equestrian Scroll,Dressage Scroll,馬術秘書,Secret Manual of Horsemanship,3,Japan,Skill[Charge 1],interpretive,,77
books,Equestrian Scroll,Trodden Scroll,馬術歌之書,Book of Equestrian Verses,2,Japan,Skill[Charge 1],interpretive,,78
books,Equestrian Scroll,Squire's Scroll,庭乗之書,Book of Garden Riding,1,Japan,Skill[Charge 1],interpretive,,79
books,Archer's Scroll,Dead Flight Scroll,稲富流砲術書,Inatomi-ryū Gunnery Manual,10,Japan,Skill[Volley 1],interpretive,,80
books,Archer's Scroll,Lazy Eye Scroll,津田流砲術書,Tsuda-ryū Gunnery Manual,9,Japan,Skill[Volley 1],interpretive,,81
books,Archer's Scroll,Clout Scroll,外記流砲術書,Geki-ryū Gunnery Manual,8,Japan,Skill[Volley 1],interpretive,,82
books,Archer's Scroll,Marksman's Scroll,田付流砲術書,Tatsuke-ryū Gunnery Manual,7,Japan,Skill[Volley 1],interpretive,,83
books,Archer's Scroll,Hunter's Scroll,関流砲術書,Seki-ryū Gunnery Manual,6,Japan,Skill[Volley 1],interpretive,,84
books,Archer's Scroll,Nocking Scroll,霞流砲術書,Kasumi-ryū Gunnery Manual,5,Japan,Skill[Volley 1],interpretive,,85
books,Archer's Scroll,Focus Scroll,荻野流砲術書,Ogino-ryū Gunnery Manual,4,Japan,Skill[Volley 1],interpretive,,86
books,Archer's Scroll,Stringing Scroll,高島流秘伝書,Takashima-ryū Secret Teachings,3,Japan,Skill[Volley 1],interpretive,,87
books,Archer's Scroll,Simple Scroll,天山流砲術書,Tenzan-ryū Gunnery Manual,2,Japan,Skill[Volley 1],interpretive,,88
books,Archer's Scroll,Pierced Scroll,中島流砲術書,Nakajima-ryū Gunnery Manual,1,Japan,Skill[Volley 1],interpretive,,89
books,Knowledge Script,Mantis Analects,史記,Records of the Grand Historian,10,China,Politics + 10,interpretive,,90
books,Knowledge Script,Jōgan Era Analects,貞観政要,Essentials of Government in the Zhenguan Era,10,China,Politics + 10,interpretive,,91
books,Knowledge Script,Jōei Era Analects,貞永式目抄,Commentary on the Jōei Code,9,Japan,Politics + 9,interpretive,,92
books,Knowledge Script,Confucian Analects,論語,The Analects,9,China,Politics + 9,interpretive,,93
books,Knowledge Script,Ancient Analects,春秋佐氏伝,Zuo's Commentary on the Spring and Autumn Annals,8,China,Politics + 8,interpretive,,94
books,Knowledge Script,Seasonal Analects,憔談治要,Essentials of Governance (Questionable Text),8,Japan,Politics + 8,needs-review,Possibly a corrupted transcription of 群書治要. Cross-check source scan before replacing Japanese.,95
books,Knowledge Script,Pivotal Analects,古事記,Records of Ancient Matters (Kojiki),7,Japan,Politics + 7,interpretive,,96
books,Knowledge Script,Registry Analects,十八史略,Epitome of the Eighteen Histories,7,China,Politics + 7,interpretive,,97
books,Knowledge Script,Archival Analects,政事要略,Summary of Government Affairs,6,Japan,Politics + 6,interpretive,,98
books,Knowledge Script,Political Analects,日本大文典,Arte da Lingoa de Iapam (Japanese Grammar),6,Europe,Politics + 6,interpretive,,99
books,Knowledge Script,Linguist's Analects,延喜式,Engishiki (Regulations of the Engi Era),5,Japan,Politics + 5,interpretive,,100
books,Knowledge Script,Regulatory Analects,漢書,Book of Han,5,China,Politics + 5,interpretive,,101
books,Knowledge Script,Chinese Analects,吾妻鏡,Azuma Kagami (Mirror of the East),4,Japan,Politics + 4,interpretive,,102
books,Knowledge Script,Mirrored Analects,資治通鑑,Comprehensive Mirror in Aid of Governance,4,China,Politics + 4,interpretive,,103
books,Knowledge Script,Historical Analects,日葡辞書,Japanese–Portuguese Dictionary,3,Europe,Politics + 3,interpretive,,104
books,Knowledge Script,Foreign Analects,和漢朗詠集,Japanese and Chinese Poems to Sing,3,Japan,Politics + 3,interpretive,,105
books,Knowledge Script,Poetic Analects,尺素往来,Shakuso Ōrai (Model Correspondence),2,Japan,Politics + 2,interpretive,,106
books,Knowledge Script,Principle Analects,塵塚物語,Dust-Heap Stories,2,Japan,Politics + 2,interpretive,,107
books,Knowledge Script,Homemade Analects,節用集,Setsuyōshū (Practical Wordbook),1,Japan,Politics + 1,interpretive,,108
books,Knowledge Script,Dictionary Analects,庭訓往来,Teikin Ōrai (Model Household Letters),1,Japan,Politics + 1,interpretive,,109
books,Tactics Manual,The Art of War,呉子,Wuzi (Master Wu),10,China,Intelligence + 10,interpretive,,110
books,Tactics Manual,Valiant Manual,孫子,The Art of War (Sunzi),10,China,Intelligence + 10,interpretive,,111
books,Tactics Manual,Visionary Manual,黄石公三略,Three Strategies of Huang Shigong,9,China,Intelligence + 9,interpretive,,112
books,Tactics Manual,6 Arts Manual,六韜,Six Secret Teachings,9,China,Intelligence + 9,interpretive,,113
books,Tactics Manual,3 Kingdoms Manual,三國志演義,Romance of the Three Kingdoms,8,China,Intelligence + 8,interpretive,,114
books,Tactics Manual,Taiheki,太平記,Taiheiki (Chronicle of Great Peace),8,Japan,Intelligence + 8,interpretive,,115
books,Tactics Manual,Foresight Manual,司馬法,Methods of the Sima,7,China,Intelligence + 7,interpretive,,116
books,Tactics Manual,Siege Manual,平家物語,The Tale of the Heike,7,Japan,Intelligence + 7,interpretive,,117
books,Tactics Manual,36 Strategy Manual,三十六計,Thirty-Six Stratagems,6,China,Intelligence + 6,interpretive,,118
books,Tactics Manual,The Water Margin,水滸伝,Water Margin,6,China,Intelligence + 6,interpretive,,119
books,Tactics Manual,Jailer's Manual,義経記,The Chronicle of Yoshitsune,5,Japan,Intelligence + 5,interpretive,,120
books,Tactics Manual,Mongolian Manual,梅松論,Baishōron (Chronicle of the Nanboku-chō Wars),5,Japan,Intelligence + 5,interpretive,,121
books,Tactics Manual,Warlord's Manual,尉繚子,Wei Liaozi,4,China,Intelligence + 4,interpretive,,122
books,Tactics Manual,Combat Manual,蒙古秘史,Secret History of the Mongols,4,China,Intelligence + 4,interpretive,,123
books,Tactics Manual,Ōnin Era Chronicle,応仁記,Ōnin Chronicle,3,Japan,Intelligence + 3,interpretive,,124
books,Tactics Manual,Skirmish Manual,鬼谷子,Guiguzi (Master of Ghost Valley),3,China,Intelligence + 3,interpretive,,125
books,Tactics Manual,Jōkyu Era Chronicle,承久記,Jōkyū Chronicle,2,Japan,Intelligence + 2,interpretive,,126
books,Tactics Manual,Civil War Manual,李衛公問対,Questions and Replies between Tang Taizong and Li Weigong,2,China,Intelligence + 2,interpretive,,127
books,Tactics Manual,Eikyō Era Chronicle,永享記,Eikyō Chronicle,1,Japan,Intelligence + 1,interpretive,,128
books,Tactics Manual,Old Manual,戦国策,Strategies of the Warring States,1,China,Intelligence + 1,interpretive,,129
books,Medical Scroll,Entire Medical Works,医書大全,Complete Medical Compendium,10,Japan,increases life span,interpretive,,130
books,Medical Scroll,Venerable Works,三喜廻翁医書,Sanki Kaiō's Medical Writings,8,Japan,increases life span,interpretive,,131
books,Medical Scroll,Enlightened Works,啓迪集,Keitekishū (Collection of Medical Enlightenment),6,Japan,increases life span,interpretive,,132
books,Medical Scroll,Complex Works,徳本医方,Tokuhon's Medical Prescriptions,4,Japan,increases life span,interpretive,,133
books,Medical Scroll,Difficult Works,八十一難経,Classic of Eighty-One Difficult Issues,2,Japan,increases life span,interpretive,,134
tea,Teapot,99 Leaf Teapot,九十九髪茄子,Tsukumogami Nasu Tea Caddy,10,China,Charm + 10,interpretive,,0
tea,Teapot,Master's Teapot,上杉瓢箪,Uesugi Hyōtan Tea Caddy,10,China,Charm + 10,interpretive,,1
tea,Teapot,Gold Leaf Teapot,珠光文琳,Jukō Bunrin Tea Caddy,10,Japan,Charm + 10,interpretive,,2
tea,Teapot,Exquisite Teapot,楢柴肩衝,Narashiba Katatsuki Tea Caddy,9,Japan,Charm + 9,interpretive,,3
tea,Teapot,Blooming Teapot,新田肩衝,Nitta Katatsuki Tea Caddy,9,China,Charm + 9,interpretive,,4
tea,Teapot,Governor's Teapot,初花肩衝,Hatsuhana Katatsuki Tea Caddy,9,China,Charm + 9,interpretive,,5
tea,Teapot,Attractive Teapot,国司茄子,Kokushi Nasu Tea Caddy,8,Japan,Charm + 8,interpretive,,6
tea,Teapot,Fuji Teapot,富士茄子,Fuji Nasu Tea Caddy,8,China,Charm + 8,interpretive,,7
tea,Teapot,Elegant Teapot,松屋肩衝,Matsuya Katatsuki Tea Caddy,8,China,Charm + 8,interpretive,,8
tea,Teapot,Enameled Teapot,珠光小茄子,Jukō Small Nasu Tea Caddy,7,China,Charm + 7,interpretive,,9
tea,Teapot,Refined Teapot,紹鴎茄子,Jōō Nasu Tea Caddy,7,China,Charm + 7,interpretive,,10
tea,Teapot,Delicate Teapot,似たり茄子,Nitari Nasu Tea Caddy,7,China,Charm + 7,interpretive,,11
tea,Teapot,Honganji Teapot,本願寺肩衝,Honganji Katatsuki Tea Caddy,6,Japan,Charm + 6,interpretive,,12
tea,Teapot,Honnōji Teapot,本能寺文琳,Honnōji Bunrin Tea Caddy,6,Japan,Charm + 6,interpretive,,13
tea,Teapot,Mystical Teapot,松本茄子,Matsumoto Nasu Tea Caddy,6,Japan,Charm + 6,interpretive,,14
tea,Teapot,Artistic Teapot,打雲大海,Uchigumo Daikai Tea Caddy,5,Japan,Charm + 5,interpretive,,15
tea,Teapot,Mimic Teapot,円乗坊肩衝,Enjōbō Katatsuki Tea Caddy,5,Japan,Charm + 5,interpretive,,16
tea,Teapot,Stormy Teapot,遅桜肩衝,Osozakura Katatsuki Tea Caddy,5,China,Charm + 5,interpretive,,17
tea,Teapot,Sakura Teapot,宗無肩衝,Sōmu Katatsuki Tea Caddy,4,Japan,Charm + 4,interpretive,,18
tea,Teapot,Polished Teapot,玉垣文琳,Tamagaki Bunrin Tea Caddy,4,China,Charm + 4,interpretive,,19
tea,Teapot,Gilted Teapot,宮王肩衝,Miyaō Katatsuki Tea Caddy,4,China,Charm + 4,interpretive,,20
tea,Teapot,Glazed Teapot,安国寺肩衝,Ankokuji Katatsuki Tea Caddy,3,China,Charm + 3,interpretive,,21
tea,Teapot,Cast Teapot,筒井肩衝,Tsutsui Katatsuki Tea Caddy,3,Japan,Charm + 3,interpretive,,22
tea,Teapot,Crafted Teapot,酸漿文琳,Hōzuki Bunrin Tea Caddy,3,China,Charm + 3,interpretive,,23
tea,Teapot,Wooden Teapot,稲葉瓢箪,Inaba Hyōtan Tea Caddy,2,China,Charm + 2,interpretive,,24
tea,Teapot,Ordinary Teapot,竹中小肩衝,Takenaka Small Katatsuki Tea Caddy,2,Japan,Charm + 2,interpretive,,25
tea,Teapot,Plain Teapot,筑紫肩衝,Tsukushi Katatsuki Tea Caddy,2,China,Charm + 2,interpretive,,26
tea,Teapot,Kukibun Teapot,九鬼文琳,Kuki Bunrin Tea Caddy,1,China,Charm + 1,interpretive,,27
tea,Teapot,Matsumae Teapot,松前肩衝,Matsumae Katatsuki Tea Caddy,1,Japan,Charm + 1,interpretive,,28
tea,Teapot,Yamanaka Teapot,山名肩衝,Yamana Katatsuki Tea Caddy,1,Japan,Charm + 1,interpretive,,29
tea,Urn,Crescent Urn,三日月,Mikazuki (Crescent Moon) Jar,10,China,Charm + 10,interpretive,,30
tea,Urn,Pine Island Urn,松島,Matsushima (Pine Islands) Jar,9,China,Charm + 9,interpretive,,31
tea,Urn,40 Stone Urn,四十石,Forty-Koku Jar,8,China,Charm + 8,interpretive,,32
tea,Urn,Needle Bloom Urn,松花,Pine-Blossom Jar,7,China,Charm + 7,interpretive,,33
tea,Urn,Luzon Urn,呂宋壺,Luzon Jar,6,China,Charm + 6,interpretive,,34
tea,Urn,Mystic's Urn,橋立,Hashidate (Bridge of Heaven) Jar,5,Japan,Charm + 5,interpretive,,35
tea,Urn,Artistic Urn,志賀,Shiga Jar,4,Japan,Charm + 4,interpretive,,36
tea,Urn,Sturdy Urn,裾野,Susono (Foothills) Jar,3,Japan,Charm + 3,interpretive,,37
tea,Urn,Polished Urn,兵庫,Hyōgo Jar,2,Japan,Charm + 2,interpretive,,38
tea,Urn,Simple Urn,りんき壺,Rinki Jar,1,Japan,Charm + 1,needs-review,The writing りんき壺 is phonetic and the name/reading cannot be independently confirmed.,39
tea,Kettle,Spider's Kettle,平蜘蛛釜,Hiragumo (Flat Spider) Kettle,10,Japan,Charm + 10,interpretive,,40
tea,Kettle,Mantis Kettle,富士形釜,Fuji-Shaped Kettle,9,Japan,Charm + 9,interpretive,,41
tea,Kettle,Stylish Kettle,乙御前釜,Otomē Kettle,8,Japan,Charm + 8,interpretive,,42
tea,Kettle,Temple Kettle,阿弥陀堂釜,Amidadō (Amida Hall) Kettle,7,Japan,Charm + 7,interpretive,,43
tea,Kettle,Theatre Kettle,大講堂釜,Daikōdō (Great Lecture Hall) Kettle,6,Japan,Charm + 6,interpretive,,44
tea,Kettle,Grandma's Kettle,姥口釜う,Ubaguchi Kettle,5,Japan,Charm + 5,needs-review,The source 姥口釜う seems to include an extraneous final kana.,45
tea,Kettle,Cast-Iron Kettle,達磨堂釜,Darumadō (Daruma Hall) Kettle,4,Japan,Charm + 4,interpretive,,46
tea,Kettle,Lacquered Kettle,十二支釜,Twelve-Zodiac-Signs Kettle,3,Japan,Charm + 3,interpretive,,47
tea,Kettle,Sturdy Kettle,芦屋釜,Ashiya Kettle,2,Japan,Charm + 2,interpretive,,48
tea,Kettle,Simple Kettle,尻張釜,Wide-Bottomed Kettle,1,Japan,Charm + 1,interpretive,,49
tea,Teacup,Porcelain Teacup,青磁馬蝗絆,Celadon Bakōhan Tea Bowl,10,China,Charm + 10,interpretive,,50
tea,Teacup,Exquisite Teacup,青磁松本,Celadon Matsumoto Tea Bowl,10,Japan,Charm + 10,interpretive,,51
tea,Teacup,Murmuring Teacup,黒楽大黒,Black Raku Daikoku Tea Bowl,9,Japan,Charm + 9,interpretive,,52
tea,Teacup,Whispering Teacup,細川井戸,Hosokawa Ido Tea Bowl,9,China,Charm + 9,interpretive,,53
tea,Teacup,Mystical Teacup,加賀井戸,Kaga Ido Tea Bowl,8,China,Charm + 8,interpretive,,54
tea,Teacup,Elegant Teacup,黒楽東陽坊,Black Raku Tōyōbō Tea Bowl,8,Japan,Charm + 8,interpretive,,55
tea,Teacup,Attractive Teacup,赤楽早船,Red Raku Hayafune Tea Bowl,7,Japan,Charm + 7,interpretive,,56
tea,Teacup,Embossed Teacup,喜左衛門井戸,Kizaemon Ido Tea Bowl,7,China,Charm + 7,interpretive,,57
tea,Teacup,Enameled Teacup,赤楽臨済,Red Raku Rinzai Tea Bowl,6,Japan,Charm + 6,interpretive,,58
tea,Teacup,Delicate Teacup,曜変稲葉天目,Yōhen Inaba Tenmoku Tea Bowl,6,China,Charm + 6,interpretive,,59
tea,Teacup,Artistic Teacup,三島藤袴,Mishima Fujibakama Tea Bowl,5,China,Charm + 5,interpretive,,60
tea,Teacup,Gilted Teacup,三好粉吹,Miyoshi Kohiki Tea Bowl,5,China,Charm + 5,interpretive,,61
tea,Teacup,Glazed Teacup,有楽井戸,Uraku Ido Tea Bowl,4,China,Charm + 4,interpretive,,62
tea,Teacup,Simple Teacup,灰被虹天目,Haikaburi Niji Tenmoku Tea Bowl,4,China,Charm + 4,interpretive,,63
tea,Teacup,Ashen Teacup,荒木高麗,Araki Kōrai Tea Bowl,3,China,Charm + 3,interpretive,,64
tea,Teacup,Crafted Teacup,雲鶴匹田筒,Unkaku Hikita-zutsu Tea Bowl,3,China,Charm + 3,interpretive,,65
tea,Teacup,Polished Teacup,柴田井戸,Shibata Ido Tea Bowl,2,China,Charm + 2,interpretive,,66
tea,Teacup,Wooden Teacup,三島桶,Mishima Oke Tea Bowl,2,China,Charm + 2,interpretive,,67
tea,Teacup,Plain Teacup,絵志野卯花墻,Pictured Shino U-no-hanagaki Tea Bowl,1,Japan,Charm + 1,interpretive,,68
tea,Teacup,Simple Teacup,魚屋飯櫃高麗,Totoya Meshibitsu Kōrai Tea Bowl,1,China,Charm + 1,needs-review,The reading of 魚屋飯櫃高麗 needs confirming.,69
tea,Vase,Closed Eye Vase,大内筒,Ōuchi Cylindrical Flower Vase,10,China,Charm + 10,interpretive,,70
tea,Vase,Flute Vase,園城寺,Onjōji Flower Vase,9,Japan,Charm + 9,interpretive,,71
tea,Vase,Precious Vase,夜長,Yonaga (Long Night) Flower Vase,8,Japan,Charm + 8,interpretive,,72
tea,Vase,Deep Timber Vase,尺八,Shakuhachi (Bamboo Flute) Flower Vase,7,Japan,Charm + 7,interpretive,,73
tea,Vase,Heavy Snow Vase,貨狄,Kategi Flower Vase,6,China,Charm + 6,needs-review,The reading 貨狄 is uncertain.,74
tea,Vase,Living Vase,深山木,Miyamagi (Deep-Mountain Wood) Flower Vase,5,Japan,Charm + 5,interpretive,,75
tea,Vase,Spring Rain Vase,雪折,Yukiore (Snow-Bent Branch) Flower Vase,4,Japan,Charm + 4,interpretive,,76
tea,Vase,Fancy Vase,旅枕,Tabimakura (Travel Pillow) Flower Vase,3,Japan,Charm + 3,interpretive,,77
tea,Vase,Simple Vase,春雨,Harusame (Spring Rain) Flower Vase,2,China,Charm + 2,interpretive,,78
tea,Vase,Plain Vase,からたち,Karatatchi (Trifoliate Orange) Flower Vase,1,Japan,Charm + 1,interpretive,,79
tea,Ladle,Ladle of Tears,泪,Namida (Tears) Tea Scoop,10,Japan,Charm + 10,interpretive,,80
tea,Ladle,Bonze's Ladle,弱法師,Yoroboshi (Weak Monk) Tea Scoop,9,Japan,Charm + 9,interpretive,,81
tea,Ladle,Bamboo Ladle,笹の葉,Sasa-no-Ha (Bamboo Leaf) Tea Scoop,8,Japan,Charm + 8,interpretive,,82
tea,Ladle,Frosty Ladle,玉霰,Tama-arare (Pearl Hail) Tea Scoop,7,Japan,Charm + 7,interpretive,,83
tea,Ladle,Early Dew Ladle,武蔵野,Musashino Tea Scoop,6,Japan,Charm + 6,interpretive,,84
tea,Ladle,Clouded Ladle,二尊院,Nison-in Tea Scoop,5,Japan,Charm + 5,interpretive,,85
tea,Ladle,Snow Peaks Ladle,残月,Zangetsu (Lingering Moon) Tea Scoop,4,Japan,Charm + 4,interpretive,,86
tea,Ladle,Bamboo Ladle,蟲喰,Mushikui (Insect-Eaten) Tea Scoop,3,Japan,Charm + 3,interpretive,,87
tea,Ladle,Wooden Ladle,落曇,Ochigumo (Falling Clouds) Tea Scoop,2,Japan,Charm + 2,needs-review,落曇 is an unusual compound; reading provisional.,88
tea,Ladle,Simple Ladle,白山,Hakusan (Mount Haku) Tea Scoop,1,Japan,Charm + 1,interpretive,,89
tea,Censer,Plover's Censer,菱馬,Hishiuma Water Jar,9,Japan,Skill[Calm],needs-review,"Although grouped as Censer in the source, these appear to be tea water jars. Reading of 菱馬 uncertain.",90
tea,Censer,Guardian Censer,山躑躅,Yamatsutsuji (Wild Azalea) Water Jar,7,Japan,Skill[Calm],interpretive,,91
tea,Censer,Uplifting Censer,破桶,Yabureoke (Broken Tub) Water Jar,5,Japan,Skill[Calm],interpretive,,92
tea,Censer,Smoky Censer,阿蘭陀水指,Oranda (Dutch) Water Jar,3,Europe,Skill[Calm],interpretive,,93
tea,Censer,Wet Censer,種壺,Tanetsubo (Seed Jar) Water Jar,1,Japan,Skill[Calm],interpretive,,94
tea,Cask,Azalea Cask,千鳥,Chidori (Plover) Vessel,10,China,Charm + 10,interpretive,,95
tea,Cask,Seeded Cask,向獅子,Mukōjishi (Facing Lion) Vessel,8,China,Charm + 8,interpretive,,96
tea,Cask,Inventive Cask,袴腰,Hakamagoshi (Hakama Waist) Vessel,6,China,Charm + 6,interpretive,,97
tea,Cask,Sturdy Cask,浅間,Asama Vessel,4,China,Charm + 4,interpretive,,98
tea,Cask,Wooden Cask,此世,Konoyo (This World) Vessel,2,Japan,Charm + 2,interpretive,,99
